timestamp, frame, x, y, z, qx, qy, qz, qw
329973.594989333, 000207, -0.10901561, -0.17668617, 0.18436192, -0.45191064, 0.71584404, -0.51133084, 0.14793514
329973.62833125, 000208, -0.109265424, -0.17617524, 0.18516569, -0.45319012, 0.71624833, -0.50992125, 0.14692615
329973.661668625, 000209, -0.109487325, -0.1759735, 0.18609025, -0.4543275, 0.7168937, -0.5080965, 0.14658765
329973.695006583, 000210, -0.10976035, -0.17608048, 0.18692693, -0.45479205, 0.71718395, -0.5071945, 0.14685042
329973.728347333, 000211, -0.109878294, -0.17623071, 0.18782787, -0.45528466, 0.71624196, -0.5079255, 0.14739414
329973.761685583, 000212, -0.10978179, -0.17645735, 0.18882376, -0.45569298, 0.7154752, -0.50867987, 0.14725466
329973.795022291, 000213, -0.1096744, -0.17677656, 0.19024555, -0.4547414, 0.71697056, -0.50791335, 0.14555891
329973.828363791, 000214, -0.10961342, -0.17668688, 0.19178495, -0.45471865, 0.7188219, -0.50561357, 0.14450239
329973.861702125, 000215, -0.10950564, -0.17606221, 0.19313428, -0.45606464, 0.72005016, -0.5027619, 0.14409445
329973.895038833, 000216, -0.108605236, -0.17562763, 0.19447814, -0.45598713, 0.72154176, -0.5012994, 0.14195786
329973.928380375, 000217, -0.108233534, -0.17479062, 0.19647515, -0.45621672, 0.72182167, -0.5011178, 0.14043
329973.961718708, 000218, -0.10814804, -0.17344114, 0.198713, -0.4583003, 0.72170967, -0.49950984, 0.13994937
329973.995060166, 000219, -0.10776204, -0.17237693, 0.20107903, -0.46060959, 0.72287387, -0.4963017, 0.13775651
329974.028397083, 000220, -0.10708445, -0.17178196, 0.20340751, -0.4634154, 0.72467655, -0.49184462, 0.13482891
329974.06173675, 000221, -0.10620646, -0.17177942, 0.20558144, -0.46600533, 0.72638863, -0.48784423, 0.13117357
329974.095071708, 000222, -0.10495907, -0.1722418, 0.20759216, -0.4682061, 0.7282107, -0.48425394, 0.12645322
329974.128411208, 000223, -0.103663795, -0.17279151, 0.20936796, -0.47131187, 0.7293516, -0.48059922, 0.12221208
329974.161752458, 000224, -0.10235713, -0.17364186, 0.21117023, -0.4739762, 0.7294341, -0.47914356, 0.11702145
329974.195087583, 000225, -0.10065594, -0.17486282, 0.21295539, -0.47498575, 0.73013145, -0.47890857, 0.10928492
329974.228428833, 000226, -0.099020496, -0.17561693, 0.21463664, -0.47653982, 0.73175853, -0.4765461, 0.10170058
329974.261766666, 000227, -0.09799435, -0.17591226, 0.2167255, -0.47954318, 0.73326594, -0.47221535, 0.096809745
329974.295104625, 000228, -0.09676858, -0.17627963, 0.21868075, -0.4813002, 0.73489606, -0.4688514, 0.091957636
329974.328445375, 000229, -0.09533295, -0.17640096, 0.22009115, -0.4830212, 0.73653805, -0.46543583, 0.08701545
329974.361785, 000230, -0.09394114, -0.1761015, 0.22186795, -0.48530617, 0.7381075, -0.46123174, 0.08331018
